entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,symbol,return_pct_net
2025-06-25,2025-09-25,7296.51416015625,6193.9580078125,-0.15110724493134398,92,ATUL,-0.15370724493134397
2016-09-08,2016-12-20,766.8184204101562,640.09521484375,-0.1652584264976635,103,AUROPHARMA,-0.1678584264976635
2017-08-09,2018-01-19,651.8779907226562,614.6578979492188,-0.05709671641494784,163,AUROPHARMA,-0.05969671641494784
2018-09-04,2019-06-06,648.3567504882812,599.804931640625,-0.07488441943589172,275,AUROPHARMA,-0.07748441943589172
2020-05-15,2021-08-24,642.5902099609375,668.1577758789062,0.0397882904557836,466,AUROPHARMA,0.037188290455783604
2023-04-26,2024-12-31,608.4577026367188,1329.5093994140625,1.1850481860163902,615,AUROPHARMA,1.1824481860163902
2017-02-02,2018-05-14,168.75819396972656,645.9727172851562,2.82780060683179,466,AVANTIFEED,2.82520060683179
2019-10-29,2020-04-17,395.22564697265625,386.48089599609375,-0.02212597042612345,171,AVANTIFEED,-0.02472597042612345
2020-09-03,2020-09-09,479.1494140625,431.3879089355469,-0.09967977362636019,6,AVANTIFEED,-0.10227977362636019
2020-09-14,2021-03-22,497.9376525878906,424.0865478515625,-0.1483139592929111,189,AVANTIFEED,-0.1509139592929111
2021-06-08,2022-01-07,535.1422729492188,530.4651489257812,-0.008739963669215357,213,AVANTIFEED,-0.011339963669215357
2022-01-13,2022-03-03,584.615234375,441.46722412109375,-0.24485850151842659,49,AVANTIFEED,-0.24745850151842658
2022-10-10,2022-11-30,467.7022399902344,366.2946472167969,-0.21682084048935685,51,AVANTIFEED,-0.21942084048935684
2023-07-27,2025-08-11,380.3261413574219,632.5771484375,0.6632491949666388,746,AVANTIFEED,0.6606491949666388
2025-12-18,2026-07-31,846.4519653320312,889.513671875,0.05087318395684422,225,AVANTIFEED,0.04827318395684422
2019-01-08,2019-02-28,1572.4000244140625,1455.800048828125,-0.07415414256902418,51,DMART,-0.07675414256902419
2019-08-28,2020-10-09,1553.300048828125,2057.60009765625,0.3246636406202332,408,DMART,0.3220636406202332
2020-12-07,2022-03-29,2526.449951171875,4006.10009765625,0.5856637475830663,477,DMART,0.5830637475830662
2022-09-09,2023-01-11,4386.10009765625,3872.89990234375,-0.11700603814006272,124,DMART,-0.11960603814006272
2023-08-04,2024-11-18,3652.10009765625,3790.550048828125,0.037909681407890715,472,DMART,0.03530968140789072
2025-06-03,2025-12-08,4055.199951171875,3867.60009765625,-0.046261554491637887,188,DMART,-0.048861554491637885
